index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/politik/ausland/2025-12/israel-benjamin-netanjahu-gnadengesuch-bennett-lapid-proteste,https://www.zeit.de/politik/ausland/2025-12/israel-benjamin-netanjahu-gnadengesuch-bennett-lapid-proteste,0,www.zeit.de,Gnadengesuch Benjamin Netanjahus: Israels Ex-Premier Bennett legt Netanjahu Rückzug aus der Politik nahe,Mit Naftali Bennett und Jair Lapid fordern zwei Oppositionspolitiker den Rücktritt Benjamin Netanjahus. Vor dem Haus des israelischen Präsidenten Herzog gab es Proteste.,https://img.zeit.de/administratives/sharing/fallback-image-die-zeit/wide__1300x731,2025-12-01T12:43:19Z,,"Naftali Bennett, konservativer israelischer Oppositionspolitiker sowie ehemaliger Ministerpräsident, hat seine mögliche Unterstützung für das Gnadengesuch des amtierenden Premiers Benjamin Netanjahu … [+1431 chars]",,de,'Jair Lapid'
https://orf.at/stories/3413118/,https://orf.at/stories/3413118/,0,orf.at,Venezuela-Angriffe irritieren US-Kongress,"Die Eskalation des Vorgehens der USA gegen Venezuela lässt im Kongress die Sorgenfalten wachsen, und das nicht nur bei Demokraten. Am Samstag hatte US-Präsident Donald Trump die Schließung des venezolanischen Luftraums erklärt und damit Befürchtungen vor eine…",https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2025%2F49%2F99%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2852536_master_1101499_usa_venezuela_kritik_washington__im.jpg%3Fs%3D66a4aef18d30c01a5ac2e9f08953844f436cb74e,2025-12-01T16:16:34Z,,"Am Freitag berichteten US-Medien, bei dem ersten öffentlich gemachten Einsatz der US-Armee gegen derartige Boote am 2. September hätten die Soldaten überlebende Bootsinsassen getötet. Vor dem Einsatz… [+4952 chars]",,de,'Nicolas Maduro'
https://www.stern.de/lifestyle/leute/andrew-mountbatten-windsor--koenig-charles-streicht-ehrentitel-offiziell-36917086.html,https://www.stern.de/lifestyle/leute/andrew-mountbatten-windsor--koenig-charles-streicht-ehrentitel-offiziell-36917086.html,0,www.stern.de,Andrew Mountbatten-Windsor: König Charles streicht Ehrentitel offiziell,Löschung aus den Ritterorden: König Charles hat die königlichen Ehrentitel seines Bruders Andrew Mountbatten-Windsor offiziell annulliert.,https://image.stern.de/36917090/t/pg/v1/w1440/r1.7778/-/01--koenig-charles-streicht-ehrentitel-offiziell---16-9---spoton-article-1124017.jpg,2025-12-01T17:21:00Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Löschung aus den Ritterorden: König Charles hat die königlichen Ehrentitel seines Bruders Andrew Mountbatten-Windsor offiziell annulliert.
Was K… [+2949 chars]",,de,'Andrew Mountbatten-Windsor'
https://www.zeit.de/politik/ausland/2025-12/usa-donald-trump-beratungen-sicherheitsstab-venezuela,https://www.zeit.de/politik/ausland/2025-12/usa-donald-trump-beratungen-sicherheitsstab-venezuela,0,www.zeit.de,USA: US-Regierung stellt sich hinter Verteidigungsminister Pete Hegseth,Nach Berichten über einen möglichen Völkerrechtsverstoß der USA in Venezuela steht der Verteidigungsminister unter Druck. Das Weiße Haus verteidigt ihn.,https://img.zeit.de/politik/ausland/2025-12/donald-trump-venezuela/wide__1300x731,2025-12-01T21:54:15Z,,"In der Debatte um einen möglicherweise 
völkerrechtswidrigen Angriff des US-Militärs auf ein Boot in der Karibik stellt sich die US-Regierung hinter Verteidigungsminister Pete Hegseth. Er habe die … [+3214 chars]",,de,'Pete Hegseth'
https://www.stern.de/politik/ausland/drohung--bombendrohungen-gegen-bueros-von-us-demokrat-schumer-36917390.html,https://www.stern.de/politik/ausland/drohung--bombendrohungen-gegen-bueros-von-us-demokrat-schumer-36917390.html,0,www.stern.de,Drohung: Bombendrohungen gegen Büros von US-Demokrat Schumer,Er ist ein harter Kritiker von US-Präsident Donald Trump. Nun sind in mehreren Büros des Demokraten Chuck Schumer Bombendrohungen eingegangen. Er sieht einen Bezug zu Trumps Bewegung.,https://image.stern.de/36917392/t/4a/v1/w1440/r1.7778/-/01--c6nn6rb6dzv4axs2048jpeg---13c7d255578d15e9.jpg,2025-12-01T22:07:08Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Er ist ein harter Kritiker von US-Präsident Donald Trump. Nun sind in mehreren Büros des Demokraten Chuck Schumer Bombendrohungen eingegangen. Er… [+1263 chars]",,de,'Nancy Pelosi'
https://www.zeit.de/politik/ausland/2025-12/usa-chuck-schumer-bombendrohung-gewalt-maga,https://www.zeit.de/politik/ausland/2025-12/usa-chuck-schumer-bombendrohung-gewalt-maga,0,www.zeit.de,Gewalt gegen Politiker: Bombendrohungen gegen Büros von Demokrat Chuck Schumer,In drei Büros des Minderheitsführers im US-Senat trafen Ermittlern zufolge Emails mit Bombendrohungen ein. Offenbar besteht ein Zusammenhang zur MAGA-Bewegung.,https://img.zeit.de/politik/ausland/2025-12/chuck-schumer-drohung-gewalt/wide__1300x731,2025-12-01T23:31:41Z,,"Der führende demokratische Senator Chuck Schumer hat Bombendrohungen gegen drei seiner Büros öffentlich gemacht. Er sei von Ermittlern in seinem Bundesstaat New York informiert worden, dass es Drohun… [+1534 chars]",,de,'Nancy Pelosi'
https://www.morgenpost.de/panorama/article410599353/ex-prinz-andrew-koenig-charles-wirft-seinen-bruder-aus-ritterorden.html,https://www.morgenpost.de/panorama/article410599353/ex-prinz-andrew-koenig-charles-wirft-seinen-bruder-aus-ritterorden.html,0,www.morgenpost.de,Ex-Prinz Andrew: König Charles wirft seinen Bruder aus Ritterorden,König Charles III. entzieht seinem Bruder Andrew die letzten verbliebenen royalen Ehrentitel. Andrew und Sarah Ferguson sollen außerdem ausziehen.,https://img.sparknews.funkemedien.de/410599357/410599357_1764638489_v16_9_1600.jpeg,2025-12-02T01:21:26Z,,"Was König Charles III. Ende Oktober ankündigte, wurde nun offiziell bestätigt: Am 1. Dezember veröffentlichte The Gazette, das offizielle Amtsblatt des Vereinigten Königreichs, den Eintrag, mit dem d… [+3190 chars]",,de,'Charles III'
https://www.zeit.de/politik/ausland/2025-12/usa-weisses-haus-medien-webseite-kritik,https://www.zeit.de/politik/ausland/2025-12/usa-weisses-haus-medien-webseite-kritik,0,www.zeit.de,Medien in den USA: US-Regierung verteidigt öffentliche Kritik an Journalisten,"Eine Webseite des Weißen Hauses prangert Journalisten, Sender und Verlage als ""Mediensünder der Woche"" an. Karoline Leavitt will so Medien zur ""Rechenschaft ziehen"".",https://img.zeit.de/politik/ausland/2025-12/usa-weisses-haus-medien-webseite-kritik-bild/wide__1300x731,2025-12-02T02:46:07Z,,"Die US-Regierung hat sich für eine neue Webseite gerechtfertigt, auf der Medien und einzelne
 Journalisten namentlich an den Pranger gestellt werden. Dies stehe im Einklang 
mit dem Versprechen der… [+1813 chars]",,de,'Karoline Leavitt'
https://www.stern.de/news/papst-leo-xiv--feiert-zum-abschluss-von-libanon-besuch-freiluft-messe-in-beirut-36917640.html,https://www.stern.de/news/papst-leo-xiv--feiert-zum-abschluss-von-libanon-besuch-freiluft-messe-in-beirut-36917640.html,0,www.stern.de,Papst Leo XIV. feiert zum Abschluss von Libanon-Besuch Freiluft-Messe in Beirut,Zum Abschluss seines dreitägigen Besuchs im Libanon hält Papst Leo XIV. in Beirut eine riesige Freiluft-Messe ab. Zu der Messe in der libanesischen Hauptstadt werden am Dienstag mehr als 100.000 Gläubige erwartet. Zudem ist für Dienstag ein stilles Gebet des …,https://image.stern.de/36917642/t/Pw/v1/w1440/r1.7778/-/02--papst-leo-xiv-beim-gebet-in-einem-kloster-nahe-beirut---b5acbfdfbf8be88c.jpg,2025-12-02T03:05:03Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Zum Abschluss seines dreitägigen Besuchs im Libanon hält Papst Leo XIV. in Beirut eine riesige Freiluft-Messe ab. Zu der Messe in der libanesisch… [+840 chars]",,de,'Papst Leo'
https://www.zeit.de/politik/ausland/2025-12/usa-ueberblick-donald-trump-rubio-nato-pete-hegseth-chuck-schumer,https://www.zeit.de/politik/ausland/2025-12/usa-ueberblick-donald-trump-rubio-nato-pete-hegseth-chuck-schumer,0,www.zeit.de,"Der US-Überblick am Morgen : Bombendrohungen gegen Schumer, Liste missliebiger Journalisten","Minderheitsführer Chuck Schumer vermutet die MAGA-Bewegung hinter Drohmails. Auf einer Webseite listen USA einzelne Reporter, an denen sich die Regierung stört. Die Nacht",https://img.zeit.de/politik/ausland/2025-12/chuck-schumer-us-ueberblick/wide__1300x731,2025-12-02T03:52:32Z,,"Leavitt verteidigt öffentliche Kritik an Journalisten
Die US-Regierung hat sich für eine neue Webseite gerechtfertigt, auf der Medien und einzelne Journalisten namentlich an den Pranger gestellt wer… [+5516 chars]",,de,'Karoline Leavitt'
